name,latitude,longitude,#
مجمع بترو ليلى التجاري,22.37096,46.7337,244
بترول الدبدبة,28.10468,46.71968,245
محطة قلف Gulf ST,28.11104,46.7052,246
الدريس,28.30575,46.11056,247
تموينات الهميجة,24.33062,41.89944,248
محطة قولد فيول,28.34717,45.98592,249
محطة الفلاّح للمحروقات,28.3889,45.93656,250
محطة فرسام طريق الشمال,28.39225,45.93415,251
الدريس,28.3964179025955,45.9254218289213,252
الدريس (الحباب),28.3972956053876,45.9427861000861,253
SASCO,28.4057936258235,45.9061955467125,254
بترولي,28.40581,45.90618,255
محطة قولد فيول,28.39166,46.0012,256
محطة شركة قلف,28.40093,45.95278,257
الدريس,28.39799,45.98128,258
محطة ساسكو,28.4089,45.97998,259
محطة طوق النجوم,28.40607,46.03887,260
محطة ال مقعد النتيفات,21.99433,45.96239,261
محطة الجبيل,28.4365569,45.9852186203276,262
محطة ارسو السعيرة,27.83107,47.48703,263
محطة ساسكو للوقود,28.49039,46.12122,264
محطة الوجعان,28.66966,45.22409,265
محطه ساسكو,24.1794656310959,48.9002550976357,266
محطة KPS,24.17949,48.90021,267
محطة الربيعان,24.12854,49.02626,268
الدريس,24.21506,49.09356,269
محطة الدريس حرض بمحافظة الاحساء,24.13594,49.10039,270
SASCO,27.47076,48.50498,271
محطة الهداج,26.28669,41.35885,272
محطة هيف الشمال( الصناعية,28.88433,44.75247,273
مجمع الشريم,28.2623,42.92605,274
محطة وقود العسيلة الهضب,21.59314,44.08152,275
محطة احمد حمد ال قريع,28.76321,43.73288,276
ساسكو,22.7062,42.1446,277
محطة واستراحة الدارة,26.976,41.48044,278
بترو عين دار للمحروقات,25.94025,49.43264,279
محطة وقود,27.46166,41.7954,280
مجمع الهضب بقالة مطعم بوفية شقق مغسلة حلاق تسجيلات بنشر....,21.51742,44.03487,281
محطة وقود أومكو,25.34144,49.54806,282
محطة وقود يبرين,23.30372,48.97035,283
محطة بنزين امتياز الوقود,25.33386,49.54948,284
محطة نايف بن دحل للمحروقات,27.92122,42.14944,285
أدنوك | ADNOC,25.45191,49.54716,286
محطة فيول واي,25.3276,49.55263,287
محطة تيماء,25.34177,49.55384,288
البترول الذهبي,25.34333,49.5577,289
محطة وقود الهياف,26.8037,41.31871,290
محطة ربوع مكة للمحروقات,25.34697,49.56044,291
ساسكو,25.28384,49.56118,292
محطة وقود السليمي,26.49294,41.14553,293
محطة نفط,27.47468,41.68024,294
الدبوس المثبّت,23.39416,41.44277,295
محطة وقود,21.4454419765522,43.9810405153919,296
محطة الدريس الرقعي 2,29.00142,46.57719,297
محطة وقود ساسكو SASCO,25.33512,49.62714,298
طريق الامير محمد بن عبدالعزيز,25.37699,49.63078,299
Petrol Station,21.42648,43.96853,300
كويك باور,25.32283,49.64103,301
محطة بيارق ٢,27.61952,41.73425,302
محطة الوادي للوقود,27.7250880345652,41.8013746000861,303
محطة الخنيني للخدمات البترولية KPS 44,27.72512,41.80137,304
جي اويل,24.95299,40.80985,305
محطة المعيقلات,27.28771,41.37609,306
محطه الفرسان العمق,23.94692,40.9753,307
محطة الخنيني للخدمات البترولية KPS 29,27.47651,49.18648,308
محطة الخنيني للخدمات البترولية KPS 43,27.07481,49.43419,309
محطة ام اثله للوقود,23.15683,49.32686,310
محطة ساسكو,26.13409,49.88884,311
Al idrees Gas Stations,24.84068,40.56367,312
محطة وقود,27.12457,49.55237,313
محطة الخنيني للخدمات البترولية KPS 40,27.15819,49.54328,314
محطة الخنيني للخدمات البترولية KPS 30,27.14733,49.55171,315
محطة الهاشمي,24.89273,40.53237,316
SASCO,26.94025,49.68273,317
السريحي للخدمات البترولية,24.8955191032729,40.5049502712509,318
مهد الذهب,23.49375,40.89685,319
محطة المورقي,23.49755,40.88526,320
محطة الحيانية,28.70244,42.31345,321
الدبوس المثبّت,26.34311,49.97042,322
الدبوس المثبّت,26.37377,49.96385,323
محطة الدريس,23.47266,40.83891,324
محطة سارا,25.97809,40.45455,325
TotalEnergies,26.26928,50.01898,326
محطة البريكي,21.05436,43.5726,327
الدريس,26.48741,49.97479,328
محطة الزهراء,26.51491,49.98639,329
محطة وقود ليان,26.48216,50.00336,330
محطة الغانم,26.51638,49.99596,331
الدريس,26.46755,50.01825,332
محطة الدريس فالخالديه,21.35384,42.78317,333
أدنوك | ADNOC,26.41394,50.05451,334
محطة أرامكو,26.4049,50.05974,335
الدريس,26.50826,50.0292,336
محطة عبدالرحمن العنزي,25.61613,43.94721,337
الدريس,26.5607,50.01906,338
محطة الغانم,26.47841,50.04633,339
محطة الدريس,21.21794,42.94756,340
محطة وقود الشفق الاحمر,21.21658,42.94826,341
مجمع الحقيل للخدمات البترولية,26.15708,50.16133,342
محطة,21.21628,42.9435,343
محطة وقود,21.26233,42.84433,344
محطة الكهف,21.21623,42.92982,345
الدريس,26.37485,50.11878,346
محطة بترو العملاقة,21.26442,42.83079,347
محطة مجتمع الأبراج للمحروقات,21.25008,42.84242,348
محطة الدريس,26.21575,50.1797,349
الدبوس المثبّت,26.45669,50.11789,350
محطة الشعله,21.23433,42.8448,351
محطة ويل للوقود,26.21721,50.18466,352
Petroly,26.20201,50.18939,353
محطة أرامكو,26.2943,50.17129,354
مزايا للوقود,26.2316540119598,50.1937734688005,355
Gas station,26.23165,50.19373,356
محطة أرامكو,26.32406,50.17981,357
محطة سهل,26.19547,50.21221,358
مزايا للوقود,26.25819,50.20103,359
الدريس,26.25536,50.20339,360
محطة الوطنية لخدمة السيارات,26.33462,50.20132,361
محطة وقود الريان,20.59743,45.71831,362
آل مطلق,20.51066,45.60468,363
محطة مراسي الخليج,20.47879,45.58211,364
محطة وقود,20.46977,45.56465,365
محطة فنار,20.47324,44.78364,366
محطة نجم الطريق,20.48997,44.50202,367
محطة جود للوقود,20.43728,44.87206,368
محطة الأصايل,20.43228,44.89335,369
محطة مدينة سلمان (بابكو),26.22751,50.44575,370
محطة الفورملا للوقود,26.02374,50.49108,371
محطة أوكي للوقود,26.1671,50.46559,372
محطة النزهة للخدمات,26.06229,50.50681,373
الدريس,20.38556,45.22931,374
محطة ريبن,22.07439,41.25787,375
محطة وادي السيل للوقود,26.13692,50.52061,376
محطة خدمات عالي,26.15246,50.5278,377
محطة حوار للبترول,26.22008,50.53476,378
محطة مدينة عيسى للخدمات,26.1719944134478,50.551014977998,379
محطة السنابس,26.17202,50.55104,380
محطة الخميس للخدمات,26.20761,50.55152,381
محطة توبلي للوقود,26.19805,50.55731,382
محطة الرفاع الشرقي للوقود,26.11272,50.576,383
محطة الاستقلال للوقود,26.15028,50.57355,384
محطة النعيم للبترول,26.22845,50.56276,385
الدريس,26.45169,50.12718,386
محطة بترول الأولى,26.12323,50.58964,387
وادي حيان,26.02485,50.60887,388
محطة خدمات الفاتح,26.21689,50.60834,389
محطة البدر,23.31758,40.27089,390
محطة وقود قلالي,26.28001,50.64434,391
محطة وقود جمعية الحد الإستهلاكية,26.24159,50.65703,392
نخلة ساسكو الاحساء,24.82165,50.73326,393
محطة نفط اكسترا,24.56166,39.75949,394
محطة نجمة الفائز,24.5058,39.70748,395
قلف للمحروقات,24.52331,39.69693,396
محطة حي المطار للمحروقات,24.54552,39.69093,397
محطة مستقبل الطاقة,24.44652,39.70661,398
محطة وسوبر ماركت الخرماءالجنوبية,25.56997,44.09671,399
محطة المجد فيصل مزحم,22.28839,40.67805,400
بروتايم,24.5163,39.68114,401
محطة نجد,24.52307,39.67494,402
محطة طيبة للمحروقات,24.45032,39.66574,403
محطة المغير,24.4531099919219,39.6442585933389,404
محطة البدر للمحروقات,24.4276866104903,39.6484724822949,405
محطة بن جرمان,21.1966380044658,41.6805150332181,406
محطة وافر,24.45897,39.61908,407
محطة الزاحم للمواد البترولية,22.49436,40.43465,408
محطة عبدالباقي المزيني,24.5322,39.59474,409
محطة الدريس,21.2192108985528,41.6220394240206,410
الدريس ( بنزين و ديزل ),24.4280551631933,39.6069273467125,411
محطة وقود,23.5250824809485,39.8672970356685,412
الخليج للوقود,23.52515,39.8673,413
محطة نفط (الغربية),24.47195,39.59126,414
الدريس,24.44546,39.5947,415
محطة التميمي,24.52724,39.57238,416
محطة الدريس بوادي الفرع,23.63681,39.80756,417
محطة نفط (القصواء),24.34489,39.60535,418
الدريس,24.38924,39.59364,419
سهل,24.42272,39.58448,420
محطة ابن زاحم,22.48174,40.39489,421
محطة بترومين للوقود,23.28863,39.93433,422
محطة بروتايم,24.4773827005465,39.5510186935994,423
محطة ساسكو,24.47785,39.55112,424
الدبوس المثبّت,24.41432,39.54847,425
محطة العاليات,24.51841,39.52293,426
محطة الوجود للمحروقات,25.97559,43.72234,427
محطة ايه سي ديلكو,24.68044,46.778,428
athfa fuel station,29.25689,41.44192,429
محطة دوار الحمراء,24.35385,39.53942,430
محطة الغنامي,24.3739,39.52891,431
SASCO,21.76219,40.89231,432
محطة اوس للوقود,24.1801,39.56607,433
محطة وقود رشوان,24.40358,39.51671,434
محطة ساسكو طريق المدينة,23.07899,39.9543,435
محطة بن زيد,24.41898,39.50054,436
SASCO,23.07306,39.95556,437
محطة السهلي (خدمة 24 ساعة),23.82258,39.6403,438
محطه العلمين للمحروقات,24.39094,39.49382,439
محطة وقود,19.96766,44.04864,440
محطة فيول واي FuelWay,23.00902,39.92853,441
محطة البتراء للمحروقات,24.59892,39.40604,442
محطة وقود الرأس الإبيض,25.56972,39.32599,443
محطة الفاو,19.79037,45.13306,444
الدريس,25.69347,39.29515,445
محطة بترومين,22.85746,39.86616,446
محطة رموز الفلاح,21.66974,40.67433,447
محطة وقود,21.6201697,40.7067077000861,448
محطة الوادي1,21.62017,40.7067,449
محطة الخليج,21.58411,40.7178,450
محطة المجد,21.58187,40.70259,451
محطة المصيف,24.28185,39.25424,452
محطة وقود المزروعة (ديزل فقط),25.43928,51.38801,453
ساسكو الفريش,24.26342,39.25742,454
محطة وقود #٦٦ (ابا الصليل),25.15648,51.45128,455
Woqod Heavy vehicle diesel station,25.57207,51.47149,456
Woqod Heavy vehicle diesel,25.66399,51.46928,457
محطة بترولي,24.13583,51.34048,458
محطة بترولات طريق الهجرة,22.71698,39.73974,459
SASCO,21.528,40.61171,460
Woqood Mobile Station Diesel,25.72458,51.52914,461
الدريس,21.6367,40.42031,462
محطة بامب,21.62332,40.43078,463
Benzol بنزول,21.06126,40.98414,464
محطة غزايل نفط,20.96452,41.08907,465
محطة رماح بنزين,21.51071,40.50595,466
محطة بترولي المطيري للوقود,24.13866,51.4448,467
SASCO,21.51039,40.48766,468
محطة ديراب,20.0040323233496,42.6200150031756,469
Sasco palm,21.5098252717632,40.4864643361587,470
Darb Station محطة درب,21.5009287655459,40.4904482288783,471
Benzol بنزول,21.11526,40.87108,472
محطة إفادة,22.3058,39.82757,473
نخلة ساسكو,24.1811806531423,51.4999557203276,474
Sahil Gas Station,22.6087910436643,39.6392951657464,475
محطة ب پ بن كركمان,19.95204,42.60499,476
محطة الفيصل للمحروقات,21.40979,40.50611,477
محطة النصر,22.00165,40.00572,478
محطة الخماش للمواد البترولية,21.38785,40.52058,479
محطة الشيباني,21.44355,40.46725,480
محطة المعمورة,21.45317,40.45508,481
الدريس,24.52344,46.64796,482
بترولي,24.15315,51.55771,483
محطة الشريف,21.31725,40.54636,484
